id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
2887,Kirill Panchenko,FC Tambov,0.0525,0.0442,0.0,0.0928,0.1322,0.0,0.2431,0.0,0.1638,0.0759,-,-,-,-,-,-,-,-,0.8045
5452,Miha Mevlja,PFC Sochi,0.0718,0.0,0.5093,0.0,0.0,0.0,0.0,0.1352,0.0,0.0,0.0,0.0306,0.0,0.0,0.0,0.0,0.0504,-,0.7973
2712,Rifat Zhemaletdinov,Lokomotiv Moscow,0.0,0.0377,0.7,0.0,0.0,0.0,-,0.0,-,0.0,0.0487,-,0.0,-,-,0.0,-,-,0.7864
7650,Murilo Cerqueira,Lokomotiv Moscow,0.0,0.0186,0.1428,0.0792,0.1087,0.0,0.0,0.0236,0.0,0.1288,0.0,0.0126,0.0,0.0265,0.1723,0.0684,0.0,-,0.7815
3067,Artur Yusupov,PFC Sochi,-,-,-,-,-,-,0.0,0.0,0.0,0.02,0.0164,0.0,0.0803,0.0505,0.0,-,0.6049,-,0.7721
6331,Alexander Lomovitskiy,Arsenal Tula,-,-,-,-,0.0,-,-,-,-,0.1739,0.1119,0.0,0.0228,0.0194,0.172,0.0672,0.0656,0.1388,0.7716
9054,Leon Sabua,FC Krasnodar,-,-,-,-,-,-,-,-,-,-,-,0.7471,0.0,-,-,-,-,-,0.7471
6774,Aleksey Sutormin,Zenit St. Petersburg,-,-,-,0.0,0.0,0.0,0.084,0.0,0.1296,0.0,0.0,0.0382,0.0,0.2504,0.0816,0.095,0.0643,-,0.7431
6727,Artem Golubev,FC Ufa,0.1115,0.3305,0.0,0.022,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0763,0.0,0.0627,0.1395,-,-,0.7425
2711,Aleksey Miranchuk,Lokomotiv Moscow,0.1165,0.4339,0.1794,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7298
8602,Kamran Aliev,Khimki,0.0535,0.3998,0.0,0.0,0.2489,0.0,0.0,0.0162,-,0.0,-,-,-,0.0,-,-,-,-,0.7184
2928,Joãozinho,PFC Sochi,-,0.0,0.2956,0.0,0.0557,0.0907,0.0,0.0878,0.0169,0.0,0.0246,0.0,0.0,0.1285,0.0,0.0,0.0,-,0.6998
8598,Kirill Bozhenov,Khimki,0.0208,0.0,0.0,0.013,-,0.0125,0.0078,0.0,0.0733,0.4625,0.0,0.0,0.0202,0.0141,0.0,0.0229,-,0.0514,0.6985
