id,name,team,1,2,3,total
7880,Sebastian Andersson,FC Cologne,1.2439,0.2473,0.0627,1.5539
419,Maximilian Mittelstädt,Hertha Berlin,0.9027,0.4834,0.1433,1.5294
8292,Dani Olmo,RasenBallsport Leipzig,0.3903,0.1022,1.033,1.5255
5254,Marcel Halstenberg,RasenBallsport Leipzig,0.7455,-,0.766,1.5115
335,Leon Goretzka,Bayern Munich,0.6912,0.3375,0.4809,1.5096
6475,Lucas Höler,Freiburg,1.3382,0.1689,0.0,1.5071
5251,Rani Khedira,Augsburg,0.7718,0.0,0.733,1.5048
8809,Mateo Klimowicz,VfB Stuttgart,0.3608,1.0502,0.0931,1.5041
8191,Giovanni Reyna,Borussia Dortmund,0.1867,0.1533,1.1364,1.4764
373,Mats Hummels,Borussia Dortmund,0.5025,0.5524,0.3934,1.4483
5243,Dayotchanculle Upamecano,RasenBallsport Leipzig,0.7248,0.0,0.7196,1.4444
7501,Amadou Haidara,RasenBallsport Leipzig,0.8638,0.0279,0.5513,1.443
8140,Munas Dabbur,Hoffenheim,0.0667,0.8297,0.5296,1.426
208,Lars Stindl,Borussia M.Gladbach,0.3437,0.5436,0.5152,1.4025
2627,Jannes Horn,FC Cologne,1.2488,0.1491,0.0,1.3979
5240,Ondrej Duda,FC Cologne,1.1484,0.2473,0.0,1.3957
4336,Raphael Framberger,Augsburg,0.5518,0.0717,0.7384,1.3619
7877,Robert Andrich,Union Berlin,0.4775,0.2397,0.6349,1.3521
306,Florian Niederlechner,Augsburg,0.0208,0.5577,0.7538,1.3323
8792,Fabian Klos,Arminia Bielefeld,0.4455,0.0156,0.8709,1.332
316,Gonzalo Castro,VfB Stuttgart,0.9793,0.1938,0.1477,1.3208
155,Max Kruse,Union Berlin,0.6296,0.0721,0.6168,1.3185
1277,Roland Sallai,Freiburg,1.2499,0.0434,0.017,1.3103
186,Karim Bellarabi,Bayer Leverkusen,0.12,0.5402,0.6314,1.2916
7485,Nico Schlotterbeck,Union Berlin,-,0.1172,1.1551,1.2723
8808,Wataru Endo,VfB Stuttgart,0.4205,0.7818,0.0534,1.2557
6556,Moussa Diaby,Bayer Leverkusen,0.0941,0.6438,0.5097,1.2476
5242,Stefan Ilsanker,Eintracht Frankfurt,0.0444,0.1299,1.0705,1.2448
106,Waldemar Anton,VfB Stuttgart,0.4968,0.7149,0.0,1.2117
27,Vladimir Darida,Hertha Berlin,1.0716,0.0,0.138,1.2096
5266,Vincenzo Grifo,Freiburg,0.7238,0.1047,0.3717,1.2002
7875,Christopher Trimmel,Union Berlin,0.4775,0.1172,0.6002,1.1949
2665,Jeffrey Gouweleeuw,Augsburg,0.4852,0.0,0.7087,1.1939
3603,Corentin Tolisso,Bayern Munich,0.7714,0.2031,0.2145,1.189
319,Marco Reus,Borussia Dortmund,0.0,0.3105,0.8685,1.179
300,Daniel Didavi,VfB Stuttgart,0.4314,0.6797,0.0591,1.1702
282,Makoto Hasebe,Eintracht Frankfurt,0.2448,0.0,0.9179,1.1627
7267,Woo-Yeong Jeong,Freiburg,1.1472,0.0,0.0099,1.1571
6345,Jadon Sancho,Borussia Dortmund,0.6186,0.5311,-,1.1497
7065,Florian Neuhaus,Borussia M.Gladbach,0.0612,0.3988,0.6789,1.1389
3455,Raphael Guerreiro,Borussia Dortmund,-,0.2953,0.841,1.1363
3300,Christopher Nkunku,RasenBallsport Leipzig,0.2481,0.0743,0.8133,1.1357
8065,Iago,Augsburg,0.2866,0.109,0.7384,1.134
3059,Axel Witsel,Borussia Dortmund,0.0874,0.2276,0.7949,1.1099
7882,Sheraldo Becker,Union Berlin,0.0871,0.4175,0.6049,1.1095
4291,Marc-Oliver Kempf,VfB Stuttgart,0.5134,0.5291,0.062,1.1045
2668,Martin Hinteregger,Eintracht Frankfurt,0.1703,0.0088,0.9179,1.097
1275,Robin Quaison,Mainz 05,0.3179,0.7695,0.0,1.0874
5238,Jordan Torunarigha,Hertha Berlin,0.7393,0.3368,-,1.0761
8824,Jude Bellingham,Borussia Dortmund,0.1204,0.0938,0.8613,1.0755
443,Peter Pekarík,Hertha Berlin,0.6213,0.4203,0.0219,1.0635
5735,Jean-Philippe Mateta,Mainz 05,0.3179,0.6944,0.046,1.0583
4340,Grischa Prömel,Union Berlin,0.0768,0.3347,0.6468,1.0583
29,Vedad Ibisevic,Schalke 04,-,1.0067,0.0397,1.0464
3310,Alassane Pléa,Borussia M.Gladbach,0.0451,0.4288,0.5637,1.0376
7868,Diadie Samassékou,Hoffenheim,0.5977,0.4396,-,1.0373
261,Julian Brandt,Borussia Dortmund,0.0,0.4412,0.5671,1.0083
6088,Orel Mangala,VfB Stuttgart,0.621,0.1956,0.1892,1.0058
