id,name,team,1,2,3,4,5,6,7,8,9,total
8737,Jens Jonsson,Cadiz,0.029,0.0,0.484,0.0,0.0849,0.0655,0.0697,0.0,0.0099,0.743
689,Kenedy,Granada,0.0,0.5161,0.0,0.0641,0.0203,0.142,-,0.0,-,0.7425
5234,Jesús Vallejo,Granada,-,0.4709,0.0,0.1639,0.0577,0.0,0.0495,-,-,0.742
6921,Óscar Plano,Real Valladolid,0.0447,0.0818,0.1074,0.1565,0.0,0.0579,0.1188,0.1094,0.0653,0.7418
2494,Denis Cheryshev,Valencia,0.4871,-,-,-,-,0.0,-,0.1361,0.1171,0.7403
7856,Aridane Hernández,Osasuna,0.3491,0.0157,-,-,0.3471,0.0115,-,-,-,0.7234
8849,Alberto Perea,Cadiz,-,-,-,-,0.6648,-,0.0,-,0.044,0.7088
3274,Maxime Gonalons,Granada,0.0,0.576,-,0.0827,0.0,-,0.0495,-,-,0.7082
2444,Bruno,Real Valladolid,0.5797,0.0113,0.0,0.0,-,0.0,-,0.1094,0.0,0.7004
6932,Okay Yokuslu,Celta Vigo,0.3376,0.2225,0.0,-,0.1384,-,-,-,-,0.6985
4193,Aitor Fernández,Levante,0.0754,0.0,0.0,0.1446,-,0.1456,0.2743,0.0577,-,0.6976
2226,Zaldúa,Real Sociedad,-,-,-,-,-,-,-,-,0.6906,0.6906
6215,Sergio Postigo,Levante,0.0,0.1008,0.0,0.1106,0.0,0.0617,0.4112,-,-,0.6843
5073,Florian Lejeune,Alaves,-,0.0,0.2683,0.1128,0.0,0.2303,0.0713,0.0,-,0.6827
2289,Nemanja Radoja,Levante,0.4404,0.0,0.0238,0.0593,0.0,-,0.1317,0.0174,-,0.6726
2112,Papakouly Diop,Eibar,0.0849,-,0.0357,-,0.0332,-,0.1813,0.2596,0.0674,0.6621
